Orden,Suborden,Renglon,Dia,Hora,Observacion,Conocimiento,Tipo Trafico,Operacion,Cliente,Tipo Operacion,Fecha Ingreso,Contenedor,Descripcion Mercaderia,Dimension,Tipo Contenedor,Volumen,Kilos,Envase,Estado
31807,0,1,2024-11-14,9:00 ,,245841724,Remision,31807-0-1,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807,0,1,2024-11-14,9:00 ,,245841724,Remision,31807-0-1,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31901,0,1,2024-11-14,9:00 ,,65311784,Remision,31901-0-1,Suabia Maderas Srl,Exportacion,2024-11-11,BMOU-667086-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31901,0,1,2024-11-14,9:00 ,,65311784,Remision,31901-0-1,Suabia Maderas Srl,Exportacion,2024-11-11,BMOU-667086-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31903,0,1,2024-11-14,9:00 ,,65311784,Remision,31903-0-1,Suabia Maderas Srl,Exportacion,2024-11-11,FBLU-017496-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31765,0,1,2024-11-14,9:00 ,,63645644,Remision,31765-0-1,Suabia Maderas Srl,Exportacion,2024-11-05,HLBU-143349-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807,0,1,2024-11-14,9:00 ,,245841724,Remision,31807-0-1,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31918,0,1,2024-11-15,8:30 ,,EBKG10717060,Remision,31918-0-1,Piranga Sa,Exportacion,2024-11-12,MSCU-528529-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31917,0,1,2024-11-15,8:30 ,,EBKG10717036,Remision,31917-0-1,Piranga Sa,Exportacion,2024-11-12,FSCU-818480-8,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31914,0,1,2024-11-15,8:30 ,,63648336,Remision,31914-0-1,Piranga Sa,Exportacion,2024-11-12,TCNU-178837-7,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31923,0,1,2024-11-15,8:30 ,,EBKGQ000624F,Remision,31923-0-1,Lift Van Int. Co S.A,Exportacion,2024-11-13,MEDU-859222-8,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31772,0,1,2024-11-15,8:00 ,,EBKG10693572,Remision,31772-0-1,Helvecia S.A.,Exportacion,2024-11-06,             ,Grlem241273/Ebkg10693572 / Rto: 25871,0,  ,-60.00,-24200.00,Bultos,Realizado
31934,0,1,2024-11-15,8:30 ,,340400038616,Remision,31934-0-1,Norfor Sa,Exportacion,2024-11-11,TRHU-871426-1,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31727,0,1,2024-11-15,8:00 ,,EBKG10682414,Remision,31727-0-1,Borgmann Rodrigo Ezequiel,Exportacion,2024-11-04,             ,Grlem241264/Ebkg10682414,0,  ,-60.00,-24550.00,Bultos,Realizado
31921,0,1,2024-11-15,9:00 ,,EBKG10682414,Remision,31921-0-1,Borgmann Rodrigo Ezequiel,Exportacion,2024-11-13,MSDU-639504-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31936,0,1,2024-11-15,8:30 ,,EBKG10693572,Remision,31936-0-1,Helvecia S.A.,Exportacion,2024-11-13,BMOU-695937-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31936,0,1,2024-11-15,9:00 ,,EBKG10693572,Remision,31936-0-1,Helvecia S.A.,Exportacion,2024-11-13,BMOU-695937-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
