id,Contenedor,Cliente,Entrega,Vto. Vacio,Tipo,Peso,Cantidad,Envase,Estado,key,fecha_registro,chofer,Fecha y Hora Fin,Observaciones,Transporte
31.0,CSNU-768077-0,Mercovan Argentina S...,Trp - Terminales 1-2-3,14/09,HC,6760.0,375.0,Bultos,Realizado - sin dato,CSNU-768077-0_Mercovan Argentina S...,2025-09-04T15:35:32.296648,marcelo porco,,,
40.0,EITU-189669-9,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,10400.0,2.0,Bultos,Realizado - sin dato,EITU-189669-9_Edificios Comahue So...,2025-09-05T12:05:32.533534,nan,,,
20.0,MEDU-418227-2,Metal Gauss S.A.,Exolgan,12/09,DC,10800.0,18.0,Bultos,Realizado - sin dato,MEDU-418227-2_Metal Gauss S.A.,2025-09-03T11:35:31.942233,nan,,,
32.0,FCIU-501848-7,Mercovan Argentina S...,Trp - Terminales 1-2-3,14/09,DC,2500.0,165.0,Bultos,Realizado - sin dato,FCIU-501848-7_Mercovan Argentina S...,2025-09-04T15:35:32.402363,nan,,,
25.0,CMAU-275489-5,Industrias Zapla S.A...,Cma Cgm,15/09,DR,27252.0,27.0,Pallets,Realizado - sin dato,CMAU-275489-5_Industrias Zapla S.A...,2025-09-03T19:05:31.902195,ariel ortiz,,,
248.0,TGBU-807249-2,Skop Trader S. A.,-,24/09,HC,13515.2,0.0,-,Realizado - sin dato,TGBU-807249-2_Skop Trader S. A.,2025-10-17T17:50:32.395159,nan,,,
37.0,EGHU-941327-1,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,nan,4810.0,232.0,Bultos,Realizado - sin dato,EGHU-941327-1_Edificios Comahue So...,2025-09-05T12:05:32.231766,nan,,,
27.0,CMAU-253746-2,Industrias Zapla S.A...,Cma Cgm,15/09,DR,27252.0,27.0,Pallets,Realizado - sin dato,CMAU-253746-2_Industrias Zapla S.A...,2025-09-03T19:05:32.137073,pedro muller,,,
16.0,CAAU-236338-6,Mercovan Argentina S...,Exolgan,08/09,DC,3000.0,178.0,Bultos,Realizado - sin dato,CAAU-236338-6_Mercovan Argentina S...,2025-09-01T21:35:32.018688,nan,,,
21.0,TGBU-397950-0,Lift Van Int. Co S.A,Medlog Sarandi,08/09,DC,1926.0,1.0,Bultos,Realizado - sin dato,TGBU-397950-0_Lift Van Int. Co S.A,2025-09-03T11:50:32.16058,luis de rosa,,,
34.0,TGHU-514001-8,Mma Tex S.A.,-,24/09,HC,4660.0,779.0,Rollos,Realizado - sin dato,TGHU-514001-8_Mma Tex S.A.,2025-09-04T21:05:32.353809,nan,,,
30.0,GCXU-653898-0,Verde Fuerte Srl,Trp - Terminales 1-2-3,14/09,HC,23161.48,18.0,Pallets,Realizado - sin dato,GCXU-653898-0_Verde Fuerte Srl,2025-09-04T15:35:32.191351,nan,,,
36.0,TEMU-638188-8,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,9460.0,1.0,Bultos,Realizado - sin dato,TEMU-638188-8_Edificios Comahue So...,2025-09-05T12:05:32.128756,nan,,,
39.0,EMCU-862434-0,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,10400.0,2.0,Bultos,Realizado - sin dato,EMCU-862434-0_Edificios Comahue So...,2025-09-05T12:05:32.437705,nan,,,
38.0,EGSU-967712-8,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,10400.0,2.0,Bultos,Realizado - sin dato,EGSU-967712-8_Edificios Comahue So...,2025-09-05T12:05:32.334371,nan,,,
29.0,YMLU-354611-2,Chemotecnica Sa,Trp - Terminales 1-2-3,18/09,DC,22080.0,20.0,Pallets,Realizado - sin dato,YMLU-354611-2_Chemotecnica Sa,2025-09-04T15:35:32.067829,nan,,,
35.0,EGHU-917279-1,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,5930.0,319.0,Bultos,Realizado - sin dato,EGHU-917279-1_Edificios Comahue So...,2025-09-05T12:05:32.016799,nan,,,
3.0,FANU-117537-6,Trice Transport Comp...,-,04/09,HC,5611.44,75.0,Bultos,Realizado - sin dato,FANU-117537-6_Trice Transport Comp...,2025-08-30T13:55:35.068464,FacuProbando,,,
23.0,UACU-345931-0,Mercovan Argentina S...,Huxley Sa,30/08,DC,3000.0,162.0,Bultos,Realizado - sin dato,UACU-345931-0_Mercovan Argentina S...,2025-09-03T11:50:32.372742,Marcelo Peril,,MARTIN,
145.0,EMCU-877109-0,Fedtex S.R.L,Trp - Terminales 1-2-3,08/10,HC,25320.0,1957.0,Rollos,Realizado - sin dato,EMCU-877109-0_Fedtex S.R.L,2025-09-25T17:50:32.033124,nan,,,
288.0,UACU-858783-8,Mercovan Argentina S...,Exolgan,01/11,DC,5500.0,316.0,Bultos,Realizado - sin dato,UACU-858783-8_Mercovan Argentina S...,2025-10-29T20:35:32.244361,nan,,,
181.0,UASU-106344-5,Mercovan Argentina S...,Exolgan,07/10,HC,3492.0,6.0,Bultos,Realizado - sin dato,UASU-106344-5_Mercovan Argentina S...,2025-10-02T18:20:33.248763,nan,,,
167.0,FCIU-539638-4,Refractarios Argenti...,Cma Cgm,13/10,DC,25500.0,20.0,Pallets,Realizado - sin dato,FCIU-539638-4_Refractarios Argenti...,2025-09-30T18:50:32.498821,Ariel Ortiz,,,
153.0,APZU-376616-0,Chemotecnica Sa,Terminal 7,30/09,DC,16060.0,20.0,Pallets,Realizado - sin dato,APZU-376616-0_Chemotecnica Sa,2025-09-26T19:50:35.909481,nan,,,
256.0,EGSU-963635-0,Novelty Trend Srl,Trp - Terminales 1-2-3,23/10,HC,23614.0,1040.0,Rollos,Realizado - sin dato,EGSU-963635-0_Novelty Trend Srl,2025-10-20T19:35:32.784103,nan,,,
43.0,TCLU-646786-0,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,10400.0,2.0,Bultos,Realizado - sin dato,TCLU-646786-0_Edificios Comahue So...,2025-09-05T12:05:32.789653,nan,,,
42.0,TXGU-563463-9,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,10400.0,2.0,Bultos,Realizado - sin dato,TXGU-563463-9_Edificios Comahue So...,2025-09-05T12:05:32.707494,nan,,,
41.0,GCXU-532527-5,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,10400.0,2.0,Bultos,Realizado - sin dato,GCXU-532527-5_Edificios Comahue So...,2025-09-05T12:05:32.615343,nan,,,
44.0,EITU-901287-6,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,10400.0,2.0,Bultos,Realizado - sin dato,EITU-901287-6_Edificios Comahue So...,2025-09-05T12:05:32.87581,nan,,,
162.0,HLBU-111743-9,Baires International,Huxley Sa,03/10,DC,2540.0,119.0,Bultos,Realizado - sin dato,HLBU-111743-9_Baires International,2025-09-30T12:05:32.966775,nan,,,
232.0,SEGU-624001-3,Grupo Rsm Srl,-,29/10,HC,5498.0,0.0,-,Realizado - sin dato,SEGU-624001-3_Grupo Rsm Srl,2025-10-14T12:20:31.890467,nan,,,
249.0,OOCU-778911-8,Skop Trader S. A.,-,24/09,HC,14333.8,0.0,-,Realizado - sin dato,OOCU-778911-8_Skop Trader S. A.,2025-10-17T17:50:32.504457,nan,,,
173.0,ZCLU-993215-5,Tandem Global Logist...,Hiperbaires - Icb T.Sur,10/10,DC,6149.0,477.0,Bultos,Realizado - sin dato,ZCLU-993215-5_Tandem Global Logist...,2025-10-01T18:20:32.359293,nan,,,
215.0,BMOU-310126-0,Arbrex Commercial Gr...,Medlog Sarandi,24/10,DC,3251.65,1156.0,Bultos,Realizado - sin dato,BMOU-310126-0_Arbrex Commercial Gr...,2025-10-10T15:35:33.903809,nan,,,
265.0,MSDU-474726-8,Lift Van Int. Co S.A,Exolgan,25/10,DC,4036.97,2.0,Bultos,Realizado - sin dato,MSDU-474726-8_Lift Van Int. Co S.A,2025-10-21T20:05:32.147817,nan,,,
182.0,MRSU-672624-0,Boratex Srl,Maersk Arg.,15/10,DC,25199.1,459.0,Cajas,Realizado - sin dato,MRSU-672624-0_Boratex Srl,2025-10-02T18:20:33.388613,nan,,,
196.0,HLBU-121374-6,Edelweiss Spedition ...,Huxley Sa,09/10,DC,702.0,37.0,Bultos,Realizado - sin dato,HLBU-121374-6_Edelweiss Spedition ...,2025-10-07T13:05:32.74449,nan,,,
195.0,TCLU-400559-1,Southcross Logistics...,-,30/09,DC,3822.2,998.0,Bultos,Realizado - sin dato,TCLU-400559-1_Southcross Logistics...,2025-10-03T21:35:32.482469,nan,,,
246.0,TLLU-496318-1,Industrias Saladillo...,Cma Cgm,24/10,HC,21386.56,40.0,Pallets,Realizado - sin dato,TLLU-496318-1_Industrias Saladillo...,2025-10-16T19:50:32.38509,nan,,,
239.0,UETU-811719-2,Arbrex Commercial Gr...,Maersk Arg.,24/10,HC,2687.98,666.0,Bultos,Realizado - sin dato,UETU-811719-2_Arbrex Commercial Gr...,2025-10-15T17:50:33.093074,nan,,,
209.0,HLXU-125886-1,Mercovan Argentina S...,Huxley Sa,15/10,DC,2300.0,85.0,Bultos,Realizado - sin dato,HLXU-125886-1_Mercovan Argentina S...,2025-10-09T22:35:32.409091,nan,,,
222.0,EMCU-897415-9,Shipy S.A.,Trp - Terminales 1-2-3,18/10,HC,6595.0,511.0,Bultos,Realizado - sin dato,EMCU-897415-9_Shipy S.A.,2025-10-13T18:35:33.329505,nan,,,
225.0,TGBU-968263-2,Jupam Sa,Trp - Terminales 1-2-3,18/10,HC,18177.0,793.0,Rollos,Realizado - sin dato,TGBU-968263-2_Jupam Sa,2025-10-13T20:50:32.453676,nan,,,
271.0,TLLU-153779-4,Mercovan Argentina S...,Maersk Arg.,25/10,FL,10298.0,5.0,Bultos,Realizado - sin dato,TLLU-153779-4_Mercovan Argentina S...,2025-10-21T21:35:31.620231,nan,,,
281.0,TCLU-231160-6,Lift Van Int. Co S.A,-,30/12,DC,1020.0,0.0,-,Realizado - sin dato,TCLU-231160-6_Lift Van Int. Co S.A,2025-10-27T12:20:31.957237,nan,,,
310.0,EMCU-166952-8,Impulso Textil Srl,Trp - Terminales 1-2-3,12/11,HC,0.0,883.0,Rollos,Realizado - sin dato,EMCU-166952-8_Impulso Textil Srl,2025-11-03T17:20:32.217256,nan,,,
338.0,OOCU-963929-3,Jupam Sa,Trp - Terminales 1-2-3,13/11,HC,24615.0,2126.0,Rollos,Pte. Desc.,OOCU-963929-3_Jupam Sa,2025-11-07T19:05:32.88628,nan,,,
325.0,CXDU-205132-7,Lift Van Int. Co S.A,Exolgan,20/11,HC,5751.55,287.0,Bultos,Vacio,CXDU-205132-7_Lift Van Int. Co S.A,2025-11-04T18:20:32.7894,nan,,,
305.0,MRKU-029097-9,Grupo Rsm Srl,Maersk Arg.,11/11,DR,4140.0,23.0,Bultos,Realizado - sin dato,MRKU-029097-9_Grupo Rsm Srl,2025-10-31T20:20:32.55195,nan,,,
317.0,XINU-803653-0,Grupo Leal-Tex S.R.L...,Maersk Arg.,08/11,HC,18000.0,900.0,Cajas,Realizado - sin dato,XINU-803653-0_Grupo Leal-Tex S.R.L...,2025-11-03T19:50:31.670648,nan,,,
330.0,TCKU-436130-0,Lift Van Int. Co S.A,Trp - Terminales 1-2-3,02/12,DR,4600.0,276.0,Bultos,Pte. Desc.,TCKU-436130-0_Lift Van Int. Co S.A,2025-11-05T19:50:32.116525,nan,,,
296.0,EGSU-132305-1,Chelatex Sas,Trp - Terminales 1-2-3,07/11,HC,23363.0,1029.0,Rollos,Realizado - sin dato,EGSU-132305-1_Chelatex Sas,2025-10-30T20:50:31.769634,nan,,,
175.0,CSNU-775417-3,Grupo Leal-Tex S.R.L...,Trp - Terminales 1-2-3,04/10,HC,13200.0,1100.0,Bultos,Realizado - sin dato,CSNU-775417-3_Grupo Leal-Tex S.R.L...,2025-10-01T21:05:32.329836,nan,,,
45.0,EGSU-933476-7,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,10400.0,2.0,Bultos,Realizado - sin dato,EGSU-933476-7_Edificios Comahue So...,2025-09-05T12:05:32.95663,nan,,,
166.0,TLLU-833694-0,Refractarios Argenti...,Cma Cgm,13/10,DC,25500.0,20.0,Pallets,Realizado - sin dato,TLLU-833694-0_Refractarios Argenti...,2025-09-30T18:50:32.388799,Ariel Ortiz,,,
144.0,TXGU-559828-0,Fedtex S.R.L,Trp - Terminales 1-2-3,07/10,HC,18760.0,1656.0,Rollos,Realizado - sin dato,TXGU-559828-0_Fedtex S.R.L,2025-09-25T17:50:31.917916,Emmanel Barrientos,,,
159.0,TCNU-478400-9,Lift Van Int. Co S.A,Hiperbaires - Icb T.Sur,03/10,HC,5679.0,271.0,Bultos,Realizado - sin dato,TCNU-478400-9_Lift Van Int. Co S.A,2025-09-29T21:05:32.356868,nan,,,
331.0,MRKU-833382-4,Lift Van Int. Co S.A,Maersk Arg.,06/11,DC,1236.0,68.0,Bultos,Vacio,MRKU-833382-4_Lift Van Int. Co S.A,2025-11-05T21:35:32.248932,nan,,,
154.0,MRKU-066590-4,Grupo Rsm Srl,Maersk Arg.,07/10,DC,3600.0,2.0,Bultos,Realizado - sin dato,MRKU-066590-4_Grupo Rsm Srl,2025-09-26T19:50:36.024586,nan,,,
183.0,TRHU-589362-5,Bazar Del Mundo S.A.,Gamma Libertador,15/10,HC,12940.59,1081.0,Bultos,Realizado - sin dato,TRHU-589362-5_Bazar Del Mundo S.A.,2025-10-02T18:20:33.502302,nan,,,
247.0,-,-,-,-,-,-,0.0,-,Realizado - sin dato,-_-,2025-10-16T22:50:32.609773,nan,,,
289.0,TCKU-746559-3,Bisora Group Sa,Maersk Arg.,04/11,HC,15120.0,582.0,Rollos,Realizado - sin dato,TCKU-746559-3_Bisora Group Sa,2025-10-30T15:50:32.193772,nan,,,
216.0,MRKU-018061-0,Arbrex Commercial Gr...,Maersk Arg.,24/10,DC,2795.0,715.0,Bultos,Realizado - sin dato,MRKU-018061-0_Arbrex Commercial Gr...,2025-10-13T11:35:32.361592,nan,,,
174.0,FBIU-012748-3,Mercovan Argentina S...,Hiperbaires - Icb T.Sur,04/10,DC,1471.0,1.0,Bultos,Realizado - sin dato,FBIU-012748-3_Mercovan Argentina S...,2025-10-01T20:35:32.235559,nan,,,
223.0,FFAU-487001-7,Shipy S.A.,Trp - Terminales 1-2-3,18/10,HC,6740.0,625.0,Bultos,Realizado - sin dato,FFAU-487001-7_Shipy S.A.,2025-10-13T18:35:33.44188,nan,,,
203.0,FBIU-518108-6,Fibras Argentinas Sa,Trp - Terminales 1-2-3,14/10,HC,22780.0,36.0,Bultos,Realizado - sin dato,FBIU-518108-6_Fibras Argentinas Sa,2025-10-09T22:20:32.204581,nan,,,
282.0,GAOU-626330-3,Fedtex S.R.L,Trp - Terminales 1-2-3,06/11,HC,22350.0,1036.0,Rollos,Realizado - sin dato,GAOU-626330-3_Fedtex S.R.L,2025-10-27T17:35:31.96238,nan,,,
197.0,FCIU-415019-0,Sermat Sa,Maersk Arg.,13/10,DC,6110.0,4.0,Pallets,Realizado - sin dato,FCIU-415019-0_Sermat Sa,2025-10-07T20:35:32.52435,nan,,,
257.0,TGHU-668045-3,Tio Musa,Maersk Arg.,27/10,HC,9200.0,657.0,Bultos,Realizado - sin dato,TGHU-668045-3_Tio Musa,2025-10-20T19:50:31.723895,nan,,,
189.0,OERU-432109-7,Impulso Jm S.A.,Trp - Terminales 1-2-3,14/10,DC,7939.5,558.0,Bultos,Realizado - sin dato,OERU-432109-7_Impulso Jm S.A.,2025-10-03T14:50:32.044067,nan,,,
339.0,SEGU-488848-1,Jakytextil S.A.,Exolgan,18/11,HC,16607.0,0.0,-,En Espera,SEGU-488848-1_Jakytextil S.A.,2025-11-07T20:20:32.779203,nan,,,
233.0,TRHU-889159-1,Jet Cargo S.A.,Hiperbaires - Icb T.Sur,18/10,HC,5813.1,22.0,Pallets,Realizado - sin dato,TRHU-889159-1_Jet Cargo S.A.,2025-10-14T21:35:33.409839,nan,,,
226.0,CAAU-519771-4,Aceptyourdestiny Sa,Trp - Terminales 1-2-3,17/10,HC,24265.0,2069.0,Rollos,Realizado - sin dato,CAAU-519771-4_Aceptyourdestiny Sa,2025-10-13T21:05:32.780662,nan,,,
326.0,HAMU-148429-1,Jakytextil S.A.,Exolgan,18/11,HC,16868.2,632.0,Rollos,Pte. Desc.,HAMU-148429-1_Jakytextil S.A.,2025-11-04T18:20:32.932386,nan,,,
311.0,EGHU-933858-4,Fashion Concept,Trp - Terminales 1-2-3,06/11,DC,8070.0,245.0,Rollos,Realizado - sin dato,EGHU-933858-4_Fashion Concept,2025-11-03T17:35:32.09251,nan,,,
297.0,MSNU-880629-2,Tio Musa,Medlog Sarandi,03/11,HC,12133.0,1098.0,Bultos,Realizado - sin dato,MSNU-880629-2_Tio Musa,2025-10-30T21:50:31.54136,nan,,,
240.0,MSKU-353878-3,Mercovan Argentina S...,Maersk Arg.,20/10,DR,1000.0,69.0,Bultos,Realizado - sin dato,MSKU-353878-3_Mercovan Argentina S...,2025-10-16T19:50:31.741055,nan,,,
250.0,ZCSU-793858-7,Mibeda S.A.,Hiperbaires - Icb T.Sur,22/10,HC,14838.7,729.0,Bultos,Realizado - sin dato,ZCSU-793858-7_Mibeda S.A.,2025-10-17T19:05:32.567945,nan,,,
266.0,MSBU-412474-3,Lift Van Int. Co S.A,Exolgan,25/10,DC,10520.0,297.0,Bultos,Realizado - sin dato,MSBU-412474-3_Lift Van Int. Co S.A,2025-10-21T20:05:32.25024,nan,,,
275.0,TLLU-414853-8,Jupam Sa,Cma Cgm,26/10,HC,15600.0,654.0,Bultos,Realizado - sin dato,TLLU-414853-8_Jupam Sa,2025-10-23T17:20:32.102345,nan,,,
272.0,UACU-838445-0,Edelweiss Spedition ...,Exolgan,25/10,DC,3142.0,200.0,Bultos,Realizado - sin dato,UACU-838445-0_Edelweiss Spedition ...,2025-10-21T21:50:31.963105,nan,,,
318.0,SEKU-677686-5,Lift Van Int. Co S.A,-,30/12,HC,3202.0,0.0,-,Realizado - sin dato,SEKU-677686-5_Lift Van Int. Co S.A,2025-11-04T11:50:31.970679,nan,,,
306.0,MRSU-056785-5,Grupo Rsm Srl,Maersk Arg.,11/11,DR,1515.0,2.0,Bultos,Realizado - sin dato,MRSU-056785-5_Grupo Rsm Srl,2025-10-31T20:20:32.67864,nan,,,
54.0,CAIU-415102-8,Mercovan Argentina S...,Exolgan,11/09,DC,2694.38,189.0,Bultos,Realizado - sin dato,CAIU-415102-8_Mercovan Argentina S...,2025-09-09T11:50:31.96681,Marcelo Peril,,,
208.0,ONEU-572881-8,Lift Van Int. Co S.A,Exolgan,23/10,HC,4427.0,257.0,Bultos,Realizado - sin dato,ONEU-572881-8_Lift Van Int. Co S.A,2025-10-09T22:35:32.321915,nan,,,
49.0,OOCU-902366-7,Fedtex S.R.L,Trp - Terminales 1-2-3,18/09,HC,21215.0,893.0,Rollos,Realizado - sin dato,OOCU-902366-7_Fedtex S.R.L,2025-09-05T21:50:32.067976,nan,,,
55.0,MRKU-000630-0,Southcross Logistics...,Maersk Arg.,09/09,HC,6949.5,1084.0,Bultos,Realizado - sin dato,MRKU-000630-0_Southcross Logistics...,2025-09-09T20:05:32.480701,nan,,,
56.0,ZCSU-769860-8,Mercovan Argentina S...,Gamma Mujica,17/09,DC,2782.0,165.0,Bultos,Realizado - sin dato,ZCSU-769860-8_Mercovan Argentina S...,2025-09-10T21:20:32.31247,Adrian Alvarez,,,
75.0,CMAU-239086-0,Mercovan Argentina S...,Terminal 7,18/09,DC,1200.0,62.0,Bultos,Realizado - sin dato,CMAU-239086-0_Mercovan Argentina S...,2025-09-15T12:05:39.469175,nan,,,
46.0,TGBU-997552-2,Edificios Comahue So...,Trp - Terminales 1-2-3,14/09,HC,9460.0,1.0,Bultos,Realizado - sin dato,TGBU-997552-2_Edificios Comahue So...,2025-09-05T12:05:33.039718,nan,,,
57.0,BSIU-338082-7,Lift Van Int. Co S.A,Hiperbaires - Icb T.Sur,12/09,DC,2332.0,150.0,Bultos,Realizado - sin dato,BSIU-338082-7_Lift Van Int. Co S.A,2025-09-10T21:20:32.414761,daniel ruiz,,,
53.0,TRHU-374815-0,Mercovan Argentina S...,Trp - Terminales 1-2-3,13/09,DC,3180.0,153.0,Bultos,Realizado - sin dato,TRHU-374815-0_Mercovan Argentina S...,2025-09-08T20:35:32.023109,daniel ruiz,,,
48.0,UACU-388583-0,Mercovan Argentina S...,Huxley Sa,12/09,DR,1000.0,57.0,Bultos,Realizado - sin dato,UACU-388583-0_Mercovan Argentina S...,2025-09-05T21:50:31.960378,nan,,,
52.0,MEDU-522472-6,Lift Van Int. Co S.A,Medlog Sarandi,12/09,DC,1660.0,1.0,Bultos,Realizado - sin dato,MEDU-522472-6_Lift Van Int. Co S.A,2025-09-08T20:35:31.914367,David Sanchez,,,
73.0,TEMU-407810-5,Jet Cargo S.A.,Hiperbaires - Icb T.Sur,15/09,DC,2580.0,10.0,Bultos,Realizado - sin dato,TEMU-407810-5_Jet Cargo S.A.,2025-09-12T18:35:32.139503,Alan Porco,,,
47.0,MRKU-104094-8,Grupo Rsm Srl,Maersk Arg.,16/09,DC,3440.0,2.0,Bultos,Realizado - sin dato,MRKU-104094-8_Grupo Rsm Srl,2025-09-05T21:35:32.408346,nan,,,
50.0,MRKU-062645-1,Grupo Rsm Srl,Maersk Arg.,16/09,DC,4050.0,3.0,Bultos,Realizado - sin dato,MRKU-062645-1_Grupo Rsm Srl,2025-09-05T21:50:32.172108,nan,,,
60.0,BSIU-851743-0,Fedtex S.R.L,Hiperbaires - Icb T.Sur,22/09,HC,25214.9,1138.0,Bultos,Realizado - sin dato,BSIU-851743-0_Fedtex S.R.L,2025-09-10T21:20:32.741314,nan,,,
64.0,ZCSU-732458-9,Fedtex S.R.L,Hiperbaires - Icb T.Sur,21/09,HC,20680.0,871.0,Rollos,Realizado - sin dato,ZCSU-732458-9_Fedtex S.R.L,2025-09-11T12:05:31.950599,Marcelo Porco,,,
65.0,JXLU-785431-5,Geo Logistics Argent...,Hiperbaires - Icb T.Sur,20/09,HC,17660.0,328.0,Bultos,Realizado - sin dato,JXLU-785431-5_Geo Logistics Argent...,2025-09-11T12:05:32.055014,Ariel Ortiz,,,
66.0,ZCSU-692856-3,Juliana Sa,-,30/09,HC,22456.0,0.0,-,Realizado - sin dato,ZCSU-692856-3_Juliana Sa,2025-09-11T12:05:32.14925,nan,,,
58.0,ZCSU-849076-9,Mercovan Argentina S...,Gamma Mujica,17/09,DC,6924.0,313.0,Bultos,Realizado - sin dato,ZCSU-849076-9_Mercovan Argentina S...,2025-09-10T21:20:32.526614,nan,,,
71.0,UETU-287941-5,Lift Van Int. Co S.A,Medlog Sarandi,18/09,DC,2045.0,1.0,Bultos,Realizado - sin dato,UETU-287941-5_Lift Van Int. Co S.A,2025-09-12T18:20:32.201311,Adrian Alvarez,,,
