Dia,Cliente,Contenedor,Volumen,Precinto,Observaciones,Estado,e-tally
2025-10-09,Alimentaria Sa,MRKU-738896-7,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17545
2025-10-09,Alimentaria Sa,MRKU-873429-9,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17546
2025-10-09,Alimentaria Sa,MRKU-988386-7,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17547
2025-10-09,Alimentaria Sa,MRKU-902215-4,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17548
2025-10-09,Alimentaria Sa,HASU-101630-6,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17549
2025-10-13,Mercovan Argentina S...,CAIU-684468-0,-8,---,EXOLGAN 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17544
2025-10-13,Mercovan Argentina S...,CAIU-684468-0,-8,---,EXOLGAN 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7546
2025-10-13,Norfor Sa,EGSU-638381-3,0,---,TRP 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17551
2025-10-13,Norfor Sa,EGSU-638381-3,0,---,TRP 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7567
2025-10-13,Norfor Sa,GAOU-699099-8,0,---,TRP 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17552
2025-10-13,Norfor Sa,GAOU-699099-8,0,---,TRP 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7568
2025-10-10,Pelama Chubut S.A.,BEAU-578719-6,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17540
2025-10-10,Pelama Chubut S.A.,BEAU-578719-6,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7553
2025-10-10,Pelama Chubut S.A.,CSNU-834117-4,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17541
2025-10-10,Pelama Chubut S.A.,CSNU-834117-4,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7554
2025-10-10,Pelama Chubut S.A.,CSNU-775417-3,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17542
2025-10-10,Pelama Chubut S.A.,CSNU-775417-3,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7555
2025-10-10,Pelama Chubut S.A.,FFAU-319944-0,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17543
2025-10-10,Pelama Chubut S.A.,FFAU-319944-0,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7556
2025-10-14,Santa Anita Oil Sa,MSDU-773296-0,0,---,ECXOLGASN 10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17562
2025-10-14,Santa Anita Oil Sa,DRYU-940493-7,0,---,EXOLGAN 10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17563
2025-10-14,Santa Anita Oil Sa,MSBU-818304-5,0,---,EXOLGAN 10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17564
2025-10-14,Santa Anita Oil Sa,TCLU-162767-3,0,---,EXOLGAN 10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17565
2025-10-14,Helvecia S.A.,CMAU-622286-4,0,---,TRP             17HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17553
2025-10-14,Helvecia S.A.,CMAU-622286-4,0,---,TRP             17HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7566
2025-10-14,Mercovan Argentina S...,TCNU-321700-0,0,---,,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17561
2025-10-14,Bdfm Sa,APHU-641721-4,0,---,T4 13HS,Pendiente,
2025-10-14,Hdv Leather S.R.L.,TRHU-589362-5,0,---,terminal 4   13hs,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17557
2025-10-14,Hdv Leather S.R.L.,TRHU-589362-5,0,---,terminal 4   13hs,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7572
2025-10-14,Hdv Leather S.R.L.,TCKU-712859-2,0,---,terminal 4  13hs,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17558
2025-10-14,Hdv Leather S.R.L.,TCKU-712859-2,0,---,terminal 4  13hs,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7573
2025-10-14,Hector Reboratti,EITU-935613-0,0,---,TRP   17HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17600
2025-10-14,Hector Reboratti,CAAU-959227-6,0,---,TRP    17HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17571
2025-10-14,Borax Argentina S A,HASU-113909-1,0,---,terminal 4   15hd,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17566
2025-10-14,Borax Argentina S A,MSKU-526657-6,0,---,TERMINAL 4  15HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17567
2025-10-15,Hdv Leather S.R.L.,MSMU-725673-1,0,---,EXOLGAN 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17554
2025-10-15,Hdv Leather S.R.L.,MSMU-725673-1,0,---,EXOLGAN 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7569
2025-10-15,Hdv Leather S.R.L.,TCLU-491727-5,0,---,EXOLGAN 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17555
2025-10-15,Hdv Leather S.R.L.,TCLU-491727-5,0,---,EXOLGAN 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7570
2025-10-15,Hdv Leather S.R.L.,MEDU-780313-6,0,---,EXOLGAN 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17556
2025-10-15,Hdv Leather S.R.L.,MEDU-780313-6,0,---,EXOLGAN 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7571
2025-10-15,Hdv Leather S.R.L.,MSDU-620729-5,0,---,EXOLGAN 13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17559
2025-10-15,Borax Argentina S A,MRKU-854452-9,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17579
2025-10-15,Borax Argentina S A,HASU-114667-6,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17572
2025-10-15,Borax Argentina S A,MRKU-873252-6,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17578
2025-10-15,Henn Y Cia S.R.L.,HASU-423867-3,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17593
2025-10-15,Henn Y Cia S.R.L.,TCNU-152902-0,0,---,TERMINAL 4   15HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17587
2025-10-15,Henn Y Cia S.R.L.,MRSU-441893-1,0,---,TERMINAL 4   15HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17590
2025-10-16,Norfor Sa,TCNU-627666-6,0,---,TRP 11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17569
2025-10-16,Norfor Sa,TCLU-629737-9,0,---,TRP  11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17570
2025-10-16,Suabia Maderas Srl,TCNU-303911-0,0,---,TERMINAL 4    15HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17575
2025-10-16,Hector Reboratti,EITU-935613-0,0,---,TRP   17HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17600
2025-10-16,Hector Reboratti,CAAU-959227-6,0,---,TRP   17HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17571
2025-10-16,Isischu Srl,ZCSU-691289-1,0,---,TERMINAL 4   15HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17577
2025-10-16,Maringa Maderas Sa,BSIU-954105-0,0,---,terminal 4   17hs,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17576
2025-10-16,Ronalb S.R.L.,OOLU-034105-1,0,---,TRP   00HS LIBERAR ANTES DEL CIERRE,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17597
2025-10-16,Minera Santa Rita Sr...,GAOU-605252-7,0,---,TRP   00HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17582
2025-10-16,Minera Santa Rita Sr...,HMMU-690964-5,0,---,TRP   00HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17591
2025-10-16,Hilado Sa,MRKU-361025-3,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17589
2025-10-16,Hilado Sa,SUDU-692085-4,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17586
2025-10-16,Hilado Sa,MSKU-977969-0,0,---,TERMINAL  4  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17584
2025-10-16,Hilado Sa,MRKU-416786-0,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17583
2025-10-21,Chaguar Sociedad Ano...,DRYU-217144-8,0,---,EXOLGAN   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27617
2025-10-21,Chaguar Sociedad Ano...,HLBU-118621-3,0,---,EXOLGAN   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27618
2025-10-21,Forestal Bosques Del...,MSMU-554119-6,0,---,EXOLGAN   16HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27613
2025-10-21,Don Satur Srl,MRKU-015713-8,0,---,TERMINAL 4    11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7530
2025-10-21,Don Satur Srl,MRKU-066388-2,0,---,TERMINAL 4   11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7531
2025-10-21,Don Satur Srl,MRKU-076591-9,0,---,TERMINAL 4   11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7532
2025-10-17,Chaguar Sociedad Ano...,ZCSU-686029-4,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17596
2025-10-17,Chaguar Sociedad Ano...,MEDU-546151-7,0,---,EXOLGAN   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17602
2025-10-17,Lift Van Int. Co S.A,MEDU-573910-4,0,---,TRP   19HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17598
2025-10-17,Pelama Chubut S.A.,OOCU-078961-0,0,---,TRP  19HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17592
2025-10-17,Pelama Chubut S.A.,CSNU-740411-2,0,---,TRP   19HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17585
2025-10-17,Minera Santa Rita Sr...,EGHU-318368-0,0,---,TRP  00HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17607
2025-10-17,Minera Santa Rita Sr...,EGHU-362757-4,0,---,TRP   00HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17608
2025-10-17,Minera Santa Rita Sr...,EGHU-327901-5,0,---,TRP   00HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17609
2025-10-17,Minera Santa Rita Sr...,EITU-052433-6,0,---,TRP   00HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17610
2025-10-17,Minera Santa Rita Sr...,DRYU-265903-1,0,---,TRP   00HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17611
2025-10-17,Minera Santa Rita Sr...,EGSU-357486-3,0,---,TRP   00HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17612
2025-10-17,Curtiembre Infante S...,CLKU-501095-6,0,---,TRP   03AM,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17605
2025-10-17,Curtiembre Infante S...,SEGU-604726-2,0,---,TRP   03AM,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17606
2025-10-20,Lawter Argentina S.A...,ZCSU-662666-6,0,---,TERMINAL 4  09HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17603
2025-10-20,Lawter Argentina S.A...,ZCSU-660329-6,0,---,TERMINAL 4   09HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17604
2025-10-23,Hector Reboratti,MRSU-729959-0,0,---,TERMINAL 4   09HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17537
2025-10-23,Hector Reboratti,MSKU-863022-8,0,---,TERMINAL 4  09HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17538
2025-10-23,Hector Reboratti,MSKU-863022-8,0,---,TERMINAL 4  09HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=7552
2025-10-23,Global Rover Logisti...,TCNU-836512-4,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27625
2025-10-23,Global Rover Logisti...,MSKU-114155-0,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27626
2025-10-23,Global Rover Logisti...,TRHU-647433-0,0,---,TERMINAL 4   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27632
2025-10-23,Global Rover Logisti...,CAAU-769100-6,0,---,TERMINAL 4  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27633
2025-10-23,Chaguar Sociedad Ano...,DRYU-217144-8,0,---,EXOLGAN   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27617
2025-10-23,Chaguar Sociedad Ano...,HLBU-118621-3,0,---,EXOLGAN   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27618
2025-10-23,Pro Forestal S.R.L,JXLU-638568-2,0,---,TERMINAL 4   15HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27637
2025-10-22,Chaguar Sociedad Ano...,HLBU-123482-0,0,---,EXOLGAN  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27619
2025-10-22,Chaguar Sociedad Ano...,TEMU-546549-6,0,---,EXOLGAN   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27620
2025-10-22,Chaguar Sociedad Ano...,FBIU-049887-0,0,---,EXOLGAN   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27622
2025-10-22,Chaguar Sociedad Ano...,MSDU-239346-3,0,---,EXOLGAN  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27623
2025-10-22,Chaguar Sociedad Ano...,GLDU-949232-4,0,---,EXOLGAN  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27621
2025-10-22,Sandrin Paola Karina,FFAU-168520-5,0,---,EXOLGAN   16HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27631
2025-10-22,Litoral Citrus S A,CAIU-682571-5,0,---,EXOLGAN  10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27624
2025-10-22,Lift Van Int. Co S.A,MSDU-436363-7,0,---,exolgan   07hs a 10hs,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27641
2025-10-27,Global Rover Logisti...,TEMU-105608-3,0,---,EXOLGAN   10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27645
2025-10-27,Helvecia S.A.,FCIU-803315-0,0,---,TRP  11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27635
2025-10-27,Helvecia S.A.,TCNU-607097-3,0,---,TRP  11HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27634
2025-10-27,Mader Zu S.R.L.,HLBU-254647-0,0,---,EXOLGAN  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27642
2025-10-27,Mader Zu S.R.L.,FSCU-716355-0,0,---,EXOLGAN  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27643
2025-10-27,Mader Zu S.R.L.,HAMU-229605-1,0,---,EXOLGAN   13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27644
2025-10-27,Lawter Argentina S.A...,DFSU-119599-7,0,---,EXOLGAN  16HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27658
2025-10-27,Mader Zu S.R.L.,HAMU-343208-6,0,---,EXOLGAN  13HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27653
2025-10-27,Chaguar Sociedad Ano...,UACU-852896-4,0,---,EXOLGAN  10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27656
2025-10-27,Global Rover Logisti...,TEMU-105608-3,0,---,EXOLGAN  10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27645
2025-10-27,Mader Zu S.R.L.,MRKU-381451-3,0,---,EXOLGAN   10HS,Pendiente,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=17601
