Operacion,Dia,Hora,Observacion,Conocimiento,Tipo Trafico,Cliente,Tipo Operacion,Fecha Ingreso,Contenedor,Descripcion Mercaderia,Dimension,Tipo Contenedor,Volumen,Kilos,Envase,Estado
31763-0-1,2024-11-13,9:00 ,,245469497,Remision,Arleather S.R.L.,Exportacion,2024-11-04,MRKU-233063-8,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31904-0-1,2024-11-13,8:30 ,,69978293,Remision,Carpal Sa,Exportacion,2024-11-11,GCXU-596553-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31905-0-1,2024-11-13,8:30 ,,69978293,Remision,Carpal Sa,Exportacion,2024-11-11,FANU-313236-8,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31764-0-1,2024-11-13,9:00 ,,245469497,Remision,Arleather S.R.L.,Exportacion,2024-11-04,MRSU-466868-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31766-0-1,2024-11-13,9:00 ,,245471291,Remision,Arleather S.R.L.,Exportacion,2024-11-04,MRSU-401245-4,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31767-0-1,2024-11-13,9:00 ,,245471291,Remision,Arleather S.R.L.,Exportacion,2024-11-04,MSKU-017377-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31762-0-1,2024-11-13,9:00 ,,245469497,Remision,Arleather S.R.L.,Exportacion,2024-11-04,BEAU-575691-3,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31848-0-1,2024-11-13,8:30 ,,340400038764,Remision,Norfor Sa,Exportacion,2024-11-08,TGBU-692467-1,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31857-0-1,2024-11-14,9:00 ,,340400038608,Remision,Norfor Sa,Exportacion,2024-11-08,EMCU-155479-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31858-0-1,2024-11-14,9:30 ,,340400038608,Remision,Norfor Sa,Exportacion,2024-11-08,TCLU-858638-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31852-0-1,2024-11-14,9:30 ,,246475697,Remision,Minera Santa Rita Srl,Exportacion,2024-11-08,MRKU-096368-4,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31853-0-1,2024-11-14,9:30 ,,246475697,Remision,Minera Santa Rita Srl,Exportacion,2024-11-08,MRKU-023676-7,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31854-0-1,2024-11-14,9:30 ,,246475697,Remision,Minera Santa Rita Srl,Exportacion,2024-11-08,MRKU-060694-3,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31855-0-1,2024-11-14,9:30 ,,246475697,Remision,Minera Santa Rita Srl,Exportacion,2024-11-08,MRKU-032396-4,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31888-0-1,2024-11-14,9:30 ,,EBKG10593886,Remision,Tipoiti Satic,Exportacion,2024-11-11,MSDU-896122-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31898-0-1,2024-11-14,9:30 ,,LA0392406,Remision,Tipoiti Satic,Exportacion,2024-11-11,CIPU-501951-5,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31847-0-1,2024-11-14,9:30 ,,245841526,Remision,Arleather S.R.L.,Exportacion,2024-11-08,SEKU-697041-7,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31850-0-1,2024-11-14,9:30 ,,245841756,Remision,Arleather S.R.L.,Exportacion,2024-11-08,TCKU-776044-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31856-0-1,2024-11-14,9:00 ,,340400038608,Remision,Norfor Sa,Exportacion,2024-11-08,TXGU-568441-3,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31846-0-1,2024-11-14,9:30 ,,245841526,Remision,Arleather S.R.L.,Exportacion,2024-11-08,HASU-519267-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31852-0-1,2024-11-14,10:00,,246475697,Remision,Minera Santa Rita Srl,Exportacion,2024-11-08,MRKU-096368-4,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31828-0-1,2024-11-14,9:00 ,,BUA0329583,Remision,Pelama Chubut S.A.,Exportacion,2024-11-07,TRHU-106661-3,Vacio,20,DR,0.00,0.00,Contenedor,Realizado
31765-0-1,2024-11-14,9:00 ,,63645644,Remision,Suabia Maderas Srl,Exportacion,2024-11-05,HLBU-143349-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31901-0-1,2024-11-14,8:00 ,,65311784,Remision,Suabia Maderas Srl,Exportacion,2024-11-11,BMOU-667086-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31902-0-1,2024-11-14,8:00 ,,65311784,Remision,Suabia Maderas Srl,Exportacion,2024-11-11,HLXU-850613-1,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31785-0-1,2024-11-14,9:00 ,,246069391,Remision,Helvecia S.A.,Exportacion,2024-11-06,MSKU-994962-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807-0-1,2024-11-14,8:30 ,,245841724,Remision,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807-0-1,2024-11-14,8:30 ,,245841724,Remision,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807-0-1,2024-11-14,8:30 ,,245841724,Remision,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807-0-1,2024-11-14,8:30 ,,245841724,Remision,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31903-0-1,2024-11-14,8:30 ,,65311784,Remision,Suabia Maderas Srl,Exportacion,2024-11-11,FBLU-017496-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807-0-1,2024-11-14,9:00 ,,245841724,Remision,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807-0-1,2024-11-14,9:00 ,,245841724,Remision,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807-0-1,2024-11-14,9:00 ,,245841724,Remision,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807-0-1,2024-11-14,9:00 ,,245841724,Remision,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31901-0-1,2024-11-14,9:00 ,,65311784,Remision,Suabia Maderas Srl,Exportacion,2024-11-11,BMOU-667086-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31901-0-1,2024-11-14,9:00 ,,65311784,Remision,Suabia Maderas Srl,Exportacion,2024-11-11,BMOU-667086-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31903-0-1,2024-11-14,9:00 ,,65311784,Remision,Suabia Maderas Srl,Exportacion,2024-11-11,FBLU-017496-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31808-0-1,2024-11-14,9:00 ,,245841724,Remision,Arleather S.R.L.,Exportacion,2024-11-06,HASU-457301-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31918-0-1,2024-11-15,8:30 ,,EBKG10717060,Remision,Piranga Sa,Exportacion,2024-11-12,MSCU-528529-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31917-0-1,2024-11-15,8:30 ,,EBKG10717036,Remision,Piranga Sa,Exportacion,2024-11-12,FSCU-818480-8,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31914-0-1,2024-11-15,8:30 ,,63648336,Remision,Piranga Sa,Exportacion,2024-11-12,TCNU-178837-7,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31923-0-1,2024-11-15,8:30 ,,EBKGQ000624F,Remision,Lift Van Int. Co S.A,Exportacion,2024-11-13,MEDU-859222-8,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31934-0-1,2024-11-15,8:30 ,,340400038616,Remision,Norfor Sa,Exportacion,2024-11-11,TRHU-871426-1,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31921-0-1,2024-11-15,9:00 ,,EBKG10682414,Remision,Borgmann Rodrigo Ezequiel,Exportacion,2024-11-13,MSDU-639504-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31936-0-1,2024-11-15,8:30 ,,EBKG10693572,Remision,Helvecia S.A.,Exportacion,2024-11-13,BMOU-695937-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31936-0-1,2024-11-15,9:00 ,,EBKG10693572,Remision,Helvecia S.A.,Exportacion,2024-11-13,BMOU-695937-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
