Operacion,Dia,Hora,Observacion,Conocimiento,Tipo Trafico,Cliente,Tipo Operacion,Fecha Ingreso,Contenedor,Descripcion Mercaderia,Dimension,Tipo Contenedor,Volumen,Kilos,Envase,Estado
31471-1-1,2024-10-25,8:00 ,Exolgan  16Hs,67302901/61302910,Remision,Pallets Jauregui Sociedad Anonima,Exportacion,2024-10-22,TCLU-597305-7,Madera,0,  ,0.00,-24303.60,Bultos,Realizado
31514-2-1,2024-10-25,10:00,Terrestre,24001EC01069793U,Remision,Overprint S.R.L.,Exportacion,2024-10-23,             ,Op 16810 // Terrestre,0,  ,0.00,-2016.08,Bultos,Realizado
31509-1-1,2024-10-25,9:30 ,Terminal 4 13Hs,245346233,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-24,MRKU-079157-0,Fc 11-165 //245346233,0,  ,0.00,-28032.00,Bultos,Realizado
31470-1-1,2024-10-25,8:00 ,Exolgan  16Hs,67302901/61302910,Remision,Pallets Jauregui Sociedad Anonima,Exportacion,2024-10-22,MAGU-562759-6,Madera,0,  ,0.00,-24303.60,Bultos,Realizado
31373-1-1,2024-10-25,8:00 ,Terminal 4   11Hs,245235638,Remision,Mercovan Argentina Srl,Exportacion,2024-10-16,MRKU-030629-4,Ellsworth // Efectos Pers.,0,  ,-20.00,-2048.00,Bultos,Realizado
31472-1-1,2024-10-25,8:00 ,Exolgan  16Hs,67302901,Remision,Pallets Jauregui Sociedad Anonima,Exportacion,2024-10-21,HAMU-206467-3,Madera // 67302901,0,  ,0.00,-21765.00,Bultos,Realizado
31464-1-1,2024-10-25,8:00 ,Exolgan  13Hs,65641857,Remision,Santa Anita Oil Sa,Exportacion,2024-10-21,FANU-105903-6,Grlem241163,0,  ,0.00,-26797.00,Bultos,Realizado
31463-1-1,2024-10-25,8:00 ,Exolgan   13Hs,65641857,Remision,Santa Anita Oil Sa,Exportacion,2024-10-21,HLXU-845430-0,Grlem241163,0,  ,0.00,-26600.00,Bultos,Realizado
31462-1-1,2024-10-25,8:00 ,Exolgan   13Hs,65641857,Remision,Santa Anita Oil Sa,Exportacion,2024-10-21,GESU-631843-6,Grlem241163,0,  ,0.00,-27250.00,Bultos,Realizado
31474-1-1,2024-10-25,8:00 ,Exolgan   10 Hs,BUEE13225500,Remision,Laboratorio Elea Phoenix Sa,Exportacion,2024-10-22,SEGU-115664-0,Buee13225500     / / /,0,  ,0.00,-16260.00,Bultos,Realizado
31577-1-1,2024-10-29,8:30 ,Exolgan 16Hs,EBKG10568537,Remision,Hector Reboratti,Exportacion,2024-10-28,FCIU-739898-2,Grlem241227/ Reboratti,0,  ,0.00,-23320.00,Bultos,Realizado
31612-1-1,2024-10-31,10:00,Terminal 4    11Hs,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-077531-0,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31513-1-1,2024-10-31,9:00 ,Terminal  4   11Hs,69974692,Remision,Forestal Bosques Del Plata Sa,Exportacion,2024-10-09,TCLU-808755-6,Grlem241151,0,  ,0.00,-22060.00,Bultos,Realizado
31545-1-1,2024-10-31,9:00 ,Terminal 4    11Hs,68975769,Remision,Forestal Bosques Del Plata Sa,Exportacion,2024-10-17,HLXU-819643-7,Grlem241177/ 68975769,0,  ,-60.00,-25800.00,Bultos,Realizado
31547-1-1,2024-10-31,9:30 ,Terminal 4    11Hs,68975769,Remision,Forestal Bosques Del Plata Sa,Exportacion,2024-10-17,HLBU-290158-0,Grlem241177/ 68975769,0,  ,-60.00,-25020.00,Bultos,Realizado
31548-1-1,2024-10-31,9:30 ,Terminal   4   11Hs,68975769,Remision,Forestal Bosques Del Plata Sa,Exportacion,2024-10-17,HLBU-133410-0,Grlem241177/ 68975769,0,  ,-60.00,-24760.00,Bultos,Realizado
31293-1-1,2024-10-31,9:30 ,Terminal 4  11Hs,67307670,Remision,Lodeco Artli S. R. L.,Exportacion,2024-10-07,UACU-536890-2,Lodeco (Muebles),0,  ,0.00,-5450.80,Bultos,Realizado
31544-1-1,2024-10-31,9:00 ,Terminal 4   11Hs,68975769,Remision,Forestal Bosques Del Plata Sa,Exportacion,2024-10-17,HAMU-121939-0,Grlem241177/ 68975769,0,  ,-60.00,-25680.00,Bultos,Realizado
31611-1-1,2024-10-31,10:00,Terminal  4    11Hs,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-042511-7,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31610-1-1,2024-10-31,10:00,Termianl 4   11Hs,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-059121-0,Fact 11-166 // 245345787,0,  ,0.00,26296.00,Bultos,Pendiente
31582-1-1,2024-10-31,10:30,Trp    15Hs,COSU6398422240,Remision,Hilado Sa,Exportacion,2024-10-16,TGBU-885040-7,Hilados/Expo 1516 // Cme013074,0,  ,0.00,-16613.00,Bultos,Realizado
31583-1-1,2024-10-31,10:30,Trp    15Hs,COSU6398422240,Remision,Hilado Sa,Exportacion,2024-10-16,FCIU-702652-1,Hilados/Expo 1516 // Cme013074,0,  ,0.00,-16590.40,Bultos,Realizado
31584-1-1,2024-10-31,10:30,Trp     15Hs,COSU6398422240,Remision,Hilado Sa,Exportacion,2024-10-16,SEGU-660078-4,Hilados/Expo 1516 // Cme013074,0,  ,0.00,-16278.10,Bultos,Realizado
31496-1-1,2024-10-31,10:30,Terminal 4    21 Hs,245667729,Remision,Lift Van Int. Co S.A,Exportacion,2024-10-16,TCLU-982445-2,Alberto Martelo // Efectos Pers.,0,  ,0.00,-6420.00,Bultos,Realizado
31598-1-1,2024-10-31,10:30,Terminal   4  01Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-078152-4,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31599-1-1,2024-10-31,10:30,Terminal  4   01Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MSKU-663517-5,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31600-1-1,2024-10-31,10:30,Terminal 4     01Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MSKU-695486-6,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31601-1-1,2024-10-31,10:30,Terminal    4    01Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-024838-8,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31512-1-1,2024-10-31,9:00 ,Terminal 4   11Hs,69974692,Remision,Forestal Bosques Del Plata Sa,Exportacion,2024-10-09,TGBU-591615-7,Grlem241151,0,  ,0.00,-22060.00,Bultos,Realizado
31602-1-1,2024-10-31,10:30,Terminal  4    01Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-046740-5,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31607-1-1,2024-10-31,10:00,Terminal 4   11Hs,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-096172-1,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31489-1-1,2024-10-31,9:00 ,Terminal  4   11Hs,245790712,Remision,Unlimited World S.A.,Exportacion,2024-10-22,MRKU-206193-0,Lanxess,0,  ,0.00,-25080.00,Bultos,Realizado
31604-1-1,2024-10-31,11:00,Terminal  4    01Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-058223-0,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31271-1-1,2024-10-31,9:00 ,Terminal 4   09Hs,64974599,Remision,Maringa Maderas Sa,Exportacion,2024-10-14,FFAU-175574-5,Grlem241149 / 64974599 /Remito 38811,0,  ,-60.00,-25780.00,Bultos,Realizado
31603-1-1,2024-10-31,11:00,Terminal 4    01Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-030107-6,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31639-1-1,2024-10-31,11:30,Trp    15Hs,COSU6398133100,Remision,Arleather S.R.L.,Exportacion,2024-10-25,RFCU-407870-1,Lote 2265 // 2266 // 2271. // Cosu639813,0,  ,0.00,-25930.00,Bultos,Realizado
31638-1-1,2024-10-31,11:30,Trp    15Hs,COSU6398133100,Remision,Arleather S.R.L.,Exportacion,2024-10-25,TCNU-574222-4,Lote 2265 // 2266 // 2271. // Cosu639813,0,  ,0.00,-25870.00,Bultos,Realizado
31291-1-1,2024-10-31,9:00 ,Terminal 4   09Hs,68641669,Remision,Carpal Sa,Exportacion,2024-10-14,HLBU-168366-8,Grlem241206 //68641669,0,  ,-60.00,-27100.00,Bultos,Realizado
31637-1-1,2024-10-31,11:30,Trp    15Hs,COSU6398133100,Remision,Arleather S.R.L.,Exportacion,2024-10-25,DFSU-742521-1,Lote 2265 // 2266 // 2271. // Cosu639813,0,  ,0.00,-27310.00,Bultos,Realizado
31608-1-1,2024-10-31,11:00,Terminal 4   03Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-021438-8,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31606-1-1,2024-10-31,11:00,Terminal  4   03Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-093077-8,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31605-1-1,2024-10-31,11:00,Terminal 4   03 Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-006279-4,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31498-1-1,2024-10-31,8:30 ,Terminal  4  09Hs,68310391,Remision,Carpal Sa,Exportacion,2024-10-18,CAIU-939093-5,Grlem241208/ 68310391,0,  ,-60.00,-27940.00,Bultos,Realizado
31497-1-1,2024-10-31,8:30 ,Terminal  4  09Hs,67642406,Remision,Maringa Maderas Sa,Exportacion,2024-10-23,TCLU-809790-8,Grlem241174/ 67642406,0,  ,0.00,-26980.00,Bultos,Realizado
31292-1-1,2024-10-31,9:00 ,Terminal 4  09Hs,63975008,Remision,Pallets Jauregui Sociedad Anonima,Exportacion,2024-10-14,CAIU-853356-4,Grlem241207 // 63975008,0,  ,-60.00,-26040.00,Bultos,Realizado
31609-1-1,2024-10-31,11:00,Terminal 4    03 Am,245345787,Remision,Manufactura Los Andes S.A.,Exportacion,2024-10-25,MRKU-086588-3,Fact 11-166 // 245345787,0,  ,0.00,-26296.00,Bultos,Realizado
31644-1-1,2024-11-01,8:00 ,Terminal 4    09Hs,245679225,Remision,Forestal Y Ganadera Indumarca Sa,Exportacion,2024-10-29,MRKU-556946-2,Grlae2473/Fygisa,0,  ,0.00,-21728.00,Bultos,Realizado
31645-1-1,2024-11-01,8:00 ,Terminal 4   11Hs,245679225,Remision,Forestal Y Ganadera Indumarca Sa,Exportacion,2024-10-29,MSKU-921909-0,Grlae2473/245679225,0,  ,0.00,-22872.00,Bultos,Realizado
31450-1-1,2024-11-01,8:00 ,Terminal  4   15Hs,BUA0329395,Remision,Lift Van Int. Co S.A,Exportacion,2024-10-14,CMAU-731313-0,Carlo Sanabria Ascues // Efectos Pers.,0,  ,-30.00,-2600.00,Bultos,Realizado
31450-1-1,2024-11-01,8:00 ,Trp   15Hs,BUA0329395,Remision,Lift Van Int. Co S.A,Exportacion,2024-10-14,CMAU-731313-0,Carlo Sanabria Ascues // Efectos Pers.,0,  ,-30.00,-2600.00,Bultos,Realizado
31444-1-1,2024-11-01,8:00 ,Terminal 4   15 Hs,245416955,Remision,Arleather S.R.L.,Exportacion,2024-10-22,MRKU-349932-4,Fex 636,0,  ,0.00,-26340.00,Bultos,Realizado
31445-1-1,2024-11-01,8:00 ,Terminal 4  15Hs,245416955,Remision,Arleather S.R.L.,Exportacion,2024-10-22,MSKU-981085-7,Fex 636,0,  ,0.00,-26120.00,Bultos,Realizado
31647-1-1,2024-11-01,8:00 ,Terminal 4  13Hs,ZIMUBUE9065900,Remision,Fundador Srl,Exportacion,2024-10-29,JXLU-616469-7,Grlae2474/Fundador,0,  ,0.00,-27900.00,Bultos,Realizado
31665-1-1,2024-11-01,9:00 ,Exolgan  19Hs,EBKG10668794,Remision,Borax Argentina S A,Exportacion,2024-10-31,HPCU-252174-4,Fac 11677 //Ebkg10668794,0,  ,-30.00,-24540.00,Bultos,Realizado
31664-1-1,2024-11-01,8:30 ,Exolgan   19Hs,EBKG10668794,Remision,Borax Argentina S A,Exportacion,2024-10-31,CRXU-301810-4,Fac 11677 //Ebkg10668794,0,  ,-30.00,-24540.00,Bultos,Realizado
31534-1-1,2024-11-01,8:30 ,Terminal 4   17Hs,245416861,Remision,Arleather S.R.L.,Exportacion,2024-10-25,MRSU-501818-5,Lote 2259 // 2269 // 2273.// 245416861,0,  ,0.00,-26210.00,Bultos,Realizado
31671-1-1,2024-11-01,9:30 ,Exolgan  19Hs,EBKG10668799,Remision,Borax Argentina S A,Exportacion,2024-10-31,MSDU-128859-2,Fac 11678 // Ebkg10668799,0,  ,-30.00,-24540.00,Bultos,Realizado
31670-1-1,2024-11-01,9:30 ,Exolgan  19Hs,EBKG10668799,Remision,Borax Argentina S A,Exportacion,2024-10-31,MEDU-256708-5,Fac 11678 // Ebkg10668799,0,  ,-30.00,-24540.00,Bultos,Realizado
31669-1-1,2024-11-01,9:00 ,Exolgan  19Hs,EBKG10668799,Remision,Borax Argentina S A,Exportacion,2024-10-31,MSDU-247116-5,Fac 11678 // Ebkg10668799,0,  ,-30.00,-24540.00,Bultos,Realizado
31533-1-1,2024-11-01,8:30 ,Temrinal 4  17Hs,245416861,Remision,Arleather S.R.L.,Exportacion,2024-10-25,MRSU-491693-4,Lote 2259 // 2269 // 2273.// 245416861,0,  ,0.00,-25580.00,Bultos,Realizado
31667-1-1,2024-11-01,9:00 ,Exolgan   19Hs,EBKG10668794,Remision,Borax Argentina S A,Exportacion,2024-10-31,MSMU-153893-3,Fac 11677 //Ebkg10668794,0,  ,-30.00,-24540.00,Bultos,Realizado
31666-1-1,2024-11-01,9:00 ,Exolgan  19Hs,EBKG10668794,Remision,Borax Argentina S A,Exportacion,2024-10-31,MSNU-305730-8,Fac 11677 //Ebkg10668794,0,  ,-30.00,-24540.00,Bultos,Realizado
31532-1-1,2024-11-01,8:30 ,Terminal 4   17Hs,245416861,Remision,Arleather S.R.L.,Exportacion,2024-10-25,TLLU-535266-0,Lote 2259 // 2269 // 2273.// 245416861,0,  ,0.00,-26350.00,Bultos,Realizado
31668-1-1,2024-11-01,9:00 ,Exolgan 19Hs,EBKG10668799,Remision,Borax Argentina S A,Exportacion,2024-10-31,MSMU-130873-5,Fac 11678 // Ebkg10668799,0,  ,-30.00,-24540.00,Bultos,Realizado
31683-1-1,2024-11-04,9:00 ,Trp   09Hs,340400037262,Remision,Forestal Y Ganadera Indumarca Sa,Exportacion,2024-10-30,EITU-922291-2,Grlem241209 / 340400037262,0,  ,-60.00,-26900.00,Bultos,Realizado
31659-1-1,2024-11-04,9:00 ,Trp  09Hs,340400037130,Remision,Maringa Maderas Sa,Exportacion,2024-10-31,TRHU-521190-0,Grlem241202/ 340400037130,0,  ,0.00,-26880.00,Bultos,Realizado
31661-1-1,2024-11-04,9:00 ,Trp   09Hs,340400037130,Remision,Maringa Maderas Sa,Exportacion,2024-10-31,EGSU-930272-8,Grlem241202/ 340400037130,0,  ,0.00,-25280.00,Bultos,Realizado
31580-1-1,2024-11-04,9:00 ,Temrinal 4    13Hs,245302457,Remision,Hector Reboratti,Exportacion,2024-10-25,MRSU-403915-7,Grlem241198 / 245302457,0,  ,0.00,-24340.00,Bultos,Realizado
31597-1-1,2024-11-04,9:00 ,Terminal 4   13Hs,24001PE01000476Z,Remision,Mercovan Argentina Srl,Exportacion,2024-10-18,MRKU-774532-3,Vera Maria Teresa // Efectos Pers.,0,  ,-13.00,-1116.00,Bultos,Realizado
31662-1-1,2024-11-04,9:00 ,Trp   15Hs,340400037130,Remision,Maringa Maderas Sa,Exportacion,2024-10-31,TGBU-992910-5,Grlem241202/ Maringa,0,  ,0.00,-25100.00,Bultos,Realizado
31660-1-1,2024-11-04,9:00 ,Trp   17Hs,340400037130,Remision,Maringa Maderas Sa,Exportacion,2024-10-31,EITU-102997-5,Grlem241202/ 340400037130,0,  ,0.00,-25700.00,Bultos,Realizado
31682-1-1,2024-11-04,8:30 ,Trp   09Hs,340400037262,Remision,Forestal Y Ganadera Indumarca Sa,Exportacion,2024-10-30,FFAU-501399-7,Grlem241209 / 340400037262,0,  ,-60.00,-26900.00,Bultos,Realizado
31658-1-1,2024-11-04,9:00 ,Trp  09 Hs,340400037130,Remision,Maringa Maderas Sa,Exportacion,2024-10-31,EISU-852440-5,Grlem241202/ 340400037130,0,  ,0.00,-24820.00,Bultos,Realizado
31724-1-1,2024-11-05,9:00 ,Terminal 4 15Hs,245039869,Remision,Hector Reboratti,Exportacion,2024-10-29,MRSU-441322-5,Grlem241144/ 245039869,0,  ,0.00,-27360.00,Bultos,Realizado
31723-1-1,2024-11-05,9:00 ,Terminal 4   15Hs,245039869,Remision,Hector Reboratti,Exportacion,2024-10-29,MRKU-479354-4,Grlem241144/ 245039869,0,  ,0.00,-27420.00,Bultos,Realizado
31703-1-1,2024-11-05,9:00 ,Trp   11Hs,BUE400142700,Remision,Norfor Sa,Exportacion,2024-11-01,PCIU-930968-6,Grlae2478/ Bue400142700,0,  ,0.00,-27850.00,Bultos,Realizado
31702-1-1,2024-11-05,9:00 ,Trp   11Hs,BUE400142700,Remision,Norfor Sa,Exportacion,2024-11-01,PCIU-939394-8,Grlae2478/ Bue400142700,0,  ,0.00,-27700.00,Bultos,Realizado
31701-1-1,2024-11-05,8:30 ,Trp   11Hs,BUE400142700,Remision,Norfor Sa,Exportacion,2024-11-01,PIDU-417185-3,Grlae2478/ Bue400142700,0,  ,0.00,-28000.00,Bultos,Realizado
31700-1-1,2024-11-05,8:30 ,Trp   11Hs,BUE400142700,Remision,Norfor Sa,Exportacion,2024-11-01,HPCU-463518-1,Grlae2478/ Bue400142700,0,  ,0.00,-27200.00,Bultos,Realizado
31699-1-1,2024-11-05,8:30 ,Trp   11Hs,BUE400142700,Remision,Norfor Sa,Exportacion,2024-11-01,BEAU-647815-0,Grlae2478/ Bue400142700,0,  ,0.00,-27500.00,Bultos,Realizado
31744-1-1,2024-11-06,9:00 ,Terminal 4   15Hs,67979767,Remision,Hector Reboratti,Exportacion,2024-10-23,TCKU-646202-8,Grlae2469/  67979767,0,  ,0.00,-25420.00,Bultos,Realizado
31706-1-1,2024-11-06,8:00 ,Trp   09Hs,245040069,Remision,Hector Reboratti,Exportacion,2024-11-01,MSKU-082622-0,Grlem241145/ 245040069,0,  ,0.00,-25790.00,Bultos,Realizado
31707-1-1,2024-11-06,8:00 ,Trp   09Hs,245040069,Remision,Hector Reboratti,Exportacion,2024-11-01,MRKU-310515-9,Grlem241145/ 245040069,0,  ,0.00,-25790.00,Bultos,Realizado
31721-1-1,2024-11-06,8:00 ,Exolgan   13Hs,61315276,Remision,Borax Argentina S A,Exportacion,2024-11-01,CAIU-288696-5,Fac 11676 //61315276,0,  ,0.00,-23067.50,Bultos,Realizado
31704-1-1,2024-11-06,8:00 ,Exolgan    10Hs,BUEE13773600,Remision,J. Llorente Y Cía. S.A.,Exportacion,2024-11-01,TCKU-480393-2,Fc 1190 // Whisky // China // E 29837,0,  ,0.00,-19446.00,Bultos,Realizado
31740-1-1,2024-11-06,9:00 ,Terminal 4   17Hs,64645199,Remision,Maringa Maderas Sa,Exportacion,2024-11-04,TCLU-544389-0,Grlem241218/Maringa,0,  ,0.00,-27700.00,Bultos,Realizado
31634-1-1,2024-11-06,8:30 ,Trp    15Hs,BUA0329857,Remision,Lift Van Int. Co S.A,Exportacion,2024-10-22,FCGU-224051-2,Jorge Soriano,0,  ,0.00,-1233.87,Bultos,Realizado
31635-1-1,2024-11-06,8:30 ,Trp    15Hs,BUA0329857,Remision,Lift Van Int. Co S.A,Exportacion,2024-10-22,TCNU-596220-8,Jorge Soriano,0,  ,0.00,-7266.13,Bultos,Realizado
31738-1-1,2024-11-06,8:30 ,Terminal 4  15Hs,244573548,Remision,Valerio Oliva Forestal Sa,Exportacion,2024-10-24,MRKU-579884-9,Grlem241104/244573548,0,  ,0.00,-23060.00,Bultos,Realizado
31710-1-1,2024-11-06,8:30 ,Terminal 4   05Am,246069278,Remision,Minera Santa Rita Srl,Exportacion,2024-11-01,SUDU-762930-8,Fact 14-411 // 246069278,0,  ,0.00,-23166.00,Bultos,Realizado
31640-1-1,2024-11-06,8:30 ,Terminal 4     13Hs,245891014,Remision,Leterago Sa,Exportacion,2024-10-25,SUDU-896206-2,Grlae2476/ Leterago,0,  ,0.00,-26645.00,Bultos,Realizado
31641-1-1,2024-11-06,8:30 ,Terminal  4   13Hs,245891014,Remision,Leterago Sa,Exportacion,2024-10-25,MSKU-056293-4,Grlae2476/ Leterago,0,  ,0.00,-26645.00,Bultos,Realizado
31642-1-1,2024-11-06,8:30 ,Terminal 4   13Hs,245891014,Remision,Leterago Sa,Exportacion,2024-10-25,MRSU-328593-7,Grlae2476/ Leterago,0,  ,0.00,-26645.00,Bultos,Realizado
31643-1-1,2024-11-06,8:30 ,Terminal 4    13Hs,245891014,Remision,Leterago Sa,Exportacion,2024-10-25,GCXU-555624-8,Grlae2476/ Leterago,0,  ,0.00,-26645.00,Bultos,Realizado
31675-1-1,2024-11-06,8:30 ,Terminal 4       13Hs,245891014,Remision,Leterago Sa,Exportacion,2024-10-31,MRKU-504719-6,Grlae2476/ 245891014,0,  ,-60.00,-26400.00,Bultos,Realizado
31722-1-1,2024-11-06,8:00 ,Exolgan    13Hs,61315276,Remision,Borax Argentina S A,Exportacion,2024-11-01,TEMU-183413-2,Fac 11676 //61315276,0,  ,0.00,-23067.50,Bultos,Realizado
31714-1-1,2024-11-07,8:30 ,Trp    15Hs,COSU6398132820,Remision,Arleather S.R.L.,Exportacion,2024-10-31,FCIU-720835-7,Cosu6398132820 // Lote 2283 / 2284/ 2285,0,  ,0.00,-25600.00,Bultos,Realizado
31712-1-1,2024-11-07,8:30 ,Trp    17Hs,COSU6398132870,Remision,Arleather S.R.L.,Exportacion,2024-11-01,OOCU-752792-5,Cosu6398132870 / Lote 2292 / 2276,0,  ,0.00,-27210.00,Bultos,Realizado
31716-1-1,2024-11-07,8:30 ,Trp   15Hs,COSU6398132820,Remision,Arleather S.R.L.,Exportacion,2024-10-31,CSNU-795777-7,Cosu6398132820 // Lote 2283 / 2284/ 2285,0,  ,0.00,-25600.00,Bultos,Realizado
